"FullPath","ParentFolder","Name","Type","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\logs\gedcom_parser.log","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\logs","gedcom_parser.log","File",".log","37552555","27-Jan-25 13:18:32","29-Jan-25 07:25:25"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files",,"mock_files","Directory","",,"16-Jan-25 14:04:39","20-Feb-25 11:37:21"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\0 HEAD.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","0 HEAD.ged","File",".ged","3629","16-Jan-25 13:16:06","01-Jan-25 06:57:29"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom.ged","File",".ged","86062","16-Jan-25 13:16:06","22-Jan-25 09:34:18"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_0.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_0.ged","File",".ged","1016","16-Jan-25 13:16:06","29-Dec-24 15:45:59"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_1.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_1.ged","File",".ged","7966814","16-Jan-25 13:16:06","29-Dec-24 15:45:59"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_18.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_18.ged","File",".ged","65734","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_18_anc.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_18_anc.ged","File",".ged","56435","07-Feb-25 21:18:25","08-Feb-25 17:00:16"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_19.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_19.ged","File",".ged","4333","16-Jan-25 13:16:06","26-Jan-25 23:55:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_2.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_2.ged","File",".ged","4430589","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_20.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_20.ged","File",".ged","22948","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_3.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_3.ged","File",".ged","3140397","16-Jan-25 13:16:06","29-Dec-24 16:55:20"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_4.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_4.ged","File",".ged","4219614","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_5.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_5.ged","File",".ged","3346186","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_6.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_6.ged","File",".ged","1836395","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\gedcom_9.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","gedcom_9.ged","File",".ged","159781","16-Jan-25 13:16:06","29-Dec-24 15:46:07"
